"","effect","concentration","growth_or_not","reproduction_or_not","survival_or_not","temperature","PAHs","Biochar_EC","Biochar_pH","Biochar_C","Biochar_N","Biochar_Cd","Biochar_Cu","Biochar_Pb","Soil_pH","test_organisms","Biochar_plant_or_not","Biochar_mix_or_not","Biochar_sludge_or_not","Biochar_waste_or_not","sand","silt","clay","Soil_organic_matter"
"1",-6,-0.464272565483423,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"2",-32,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"3",-3,-0.485362045637858,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"4",31,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"5",32,-0.485362045637858,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"6",-36,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"7",-7,-0.485362045637858,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"8",19,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389
"9",33.19,-0.499600121072071,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.69738107526018,-0.138933875464637,0.112411476125818,0.932906047901726,-0.280345580397653,-0.443650022241232,-0.602737852434491,-0.00961234696160278,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389
"10",11.14,-0.0713873260581616,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.69738107526018,-0.138933875464637,0.112411476125818,0.932906047901726,-0.280345580397653,-0.443650022241232,-0.602737852434491,-0.00961234696160278,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389
