"effect","conc","growth","repro","survival","temperature","PAHs","EC","pH_b","C_biochar","N_biochar","Cd","Cu","Pb","pH_soil","species","biochar_plant","biochar_mix","biochar_sludge","biochar_waste","sand","silt","clay","oc","category"
-6,-0.464272565483423,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"hazardous"
-32,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"hazardous"
-3,-0.485362045637858,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"hazardous"
31,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"beneficial"
32,-0.485362045637858,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"beneficial"
-36,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"hazardous"
-7,-0.485362045637858,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"hazardous"
19,0.606259422051349,1.07220322670825,-0.868933661637921,-0.341641379230217,-1.47855877771254,-0.255042630348199,-0.138933875464637,-2.81988913962367,-0.0248292053347373,1.05854304421623,-0.29333768496575,-0.341751768189065,-0.23673841812953,0.265931818009408,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-1.03437218501663,-0.0792968418157267,0.754827060019254,-1.58396319819389,"beneficial"
33.19,-0.499600121072071,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.69738107526018,-0.138933875464637,0.112411476125818,0.932906047901726,-0.280345580397653,-0.443650022241232,-0.602737852434491,-0.00961234696160278,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"beneficial"
11.14,-0.0713873260581616,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.69738107526018,-0.138933875464637,0.112411476125818,0.932906047901726,-0.280345580397653,-0.443650022241232,-0.602737852434491,-0.00961234696160278,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"beneficial"
40.83,0.463878667709225,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.69738107526018,-0.138933875464637,0.112411476125818,0.932906047901726,-0.280345580397653,-0.443650022241232,-0.602737852434491,-0.00961234696160278,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"beneficial"
11.57,-0.499600121072071,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.684017376018126,-0.138933875464637,-0.53269465933907,0.541743114803317,-0.156210211228154,-0.515227325705747,-0.574246248395091,0.0615079379495664,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"beneficial"
14.85,-0.0713873260581616,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.684017376018126,-0.138933875464637,-0.53269465933907,0.541743114803317,-0.156210211228154,-0.515227325705747,-0.574246248395091,0.0615079379495664,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"beneficial"
-4.15,0.463878667709225,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,-0.684017376018126,-0.138933875464637,-0.53269465933907,0.541743114803317,-0.156210211228154,-0.515227325705747,-0.574246248395091,0.0615079379495664,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"hazardous"
5.02,-0.499600121072071,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,2.94021785842686,-0.138933875464637,-1.23644680711895,0.928228464247335,-0.431081385817759,0.0359179109710213,-0.586136445356415,0.0293890996025868,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"beneficial"
-48.25,-0.0713873260581616,1.07220322670825,-0.868933661637921,-0.341641379230217,-0.393046618490584,2.94021785842686,-0.138933875464637,-1.23644680711895,0.928228464247335,-0.431081385817759,0.0359179109710213,-0.586136445356415,0.0293890996025868,0.154187987816366,-0.752854688035324,0.652414859817253,-0.303249622749141,-0.320666702737261,-0.371131710875756,-2.77125552258729,-0.0792968418157267,4.36167413318527,-1.58396319819389,"hazardous"
